route_id_x,direction_id_x,trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_name,stop_lat,stop_lon,category_x,route_id_y,geometry,isOKU,status_x,search,route_id,service_id,trip_headsign,direction_id_y,shape_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color,category_y,status_y
AGL,0,AGL_Sat_0,6:21:39,6:21:57,AG5,14,SULTAN ISMAIL,3.161245,101.694109,LRT,AG,[object Object],True,valid,LRT SULTAN ISMAIL,AG,Sat,From Ampang to Sentul Timur,0,shp_AG_0,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,0,AGL_Sat_0,6:23:07,6:23:25,AG4,15,PWTC,3.166333,101.693586,LRT,AG,[object Object],True,valid,LRT PWTC,AG,Sat,From Ampang to Sentul Timur,0,shp_AG_0,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,0,AGL_Sat_0,6:24:50,6:25:08,AG3,16,TITIWANGSA,3.173497,101.695367,LRT,AG,[object Object],True,valid,LRT TITIWANGSA,AG,Sat,From Ampang to Sentul Timur,0,shp_AG_0,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,0,AGL_Sat_0,6:26:10,6:26:28,AG2,17,SENTUL,3.178484,101.695542,LRT,AG,[object Object],True,valid,LRT SENTUL,AG,Sat,From Ampang to Sentul Timur,0,shp_AG_0,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,0,AGL_Sat_0,6:27:47,6:28:05,AG1,18,SENTUL TIMUR,3.185897,101.695217,LRT,AG,[object Object],True,valid,LRT SENTUL TIMUR,AG,Sat,From Ampang to Sentul Timur,0,shp_AG_0,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,1,AGL_Sat_1,6:00:00,6:00:18,AG1,1,SENTUL TIMUR,3.185897,101.695217,LRT,AG,[object Object],True,valid,LRT SENTUL TIMUR,AG,Sat,From Sentul Timur to Ampang,1,shp_AG_1,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,1,AGL_Sat_1,6:01:37,6:01:55,AG2,2,SENTUL,3.178484,101.695542,LRT,AG,[object Object],True,valid,LRT SENTUL,AG,Sat,From Sentul Timur to Ampang,1,shp_AG_1,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,1,AGL_Sat_1,6:02:57,6:03:15,AG3,3,TITIWANGSA,3.173497,101.695367,LRT,AG,[object Object],True,valid,LRT TITIWANGSA,AG,Sat,From Sentul Timur to Ampang,1,shp_AG_1,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,1,AGL_Sat_1,6:04:40,6:04:58,AG4,4,PWTC,3.166333,101.693586,LRT,AG,[object Object],True,valid,LRT PWTC,AG,Sat,From Sentul Timur to Ampang,1,shp_AG_1,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,1,AGL_Sat_1,6:06:08,6:06:26,AG5,5,SULTAN ISMAIL,3.161245,101.694109,LRT,AG,[object Object],True,valid,LRT SULTAN ISMAIL,AG,Sat,From Sentul Timur to Ampang,1,shp_AG_1,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,1,AGL_Sat_1,6:07:35,6:07:53,AG6,6,BANDARAYA,3.155567,101.694485,LRT,AG,[object Object],True,valid,LRT BANDARAYA,AG,Sat,From Sentul Timur to Ampang,1,shp_AG_1,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,1,AGL_Sat_1,6:09:28,6:09:46,AG7,7,MASJID JAMEK,3.14927,101.696377,LRT,AG,[object Object],True,valid,LRT MASJID JAMEK,AG,Sat,From Sentul Timur to Ampang,1,shp_AG_1,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,1,AGL_Sat_1,6:11:18,6:11:36,AG8,8,PLAZA RAKYAT,3.144049,101.702105,LRT,AG,[object Object],True,valid,LRT PLAZA RAKYAT,AG,Sat,From Sentul Timur to Ampang,1,shp_AG_1,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,1,AGL_Sat_1,6:12:42,6:13:00,AG9,9,HANG TUAH,3.140012,101.705984,LRT,AG,[object Object],True,valid,LRT HANG TUAH,AG,Sat,From Sentul Timur to Ampang,1,shp_AG_1,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,1,AGL_Sat_1,6:14:13,6:14:31,AG10,10,PUDU,3.134879,101.711957,LRT,AG,[object Object],True,valid,LRT PUDU,AG,Sat,From Sentul Timur to Ampang,1,shp_AG_1,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,1,AGL_Sat_1,6:15:58,6:16:16,AG11,11,CHAN SOW LIN,3.128105,101.715637,LRT,AG,[object Object],True,valid,LRT CHAN SOW LIN,AG,Sat,From Sentul Timur to Ampang,1,shp_AG_1,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,1,AGL_Sat_1,6:17:32,6:17:50,AG12,12,MIHARJA,3.120973,101.717922,LRT,AG,[object Object],True,valid,LRT MIHARJA,AG,Sat,From Sentul Timur to Ampang,1,shp_AG_1,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,1,AGL_Sat_1,6:19:16,6:19:34,AG13,13,MALURI,3.12329,101.727283,LRT,AG,[object Object],True,valid,LRT MALURI,AG,Sat,From Sentul Timur to Ampang,1,shp_AG_1,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,1,AGL_Sat_1,6:21:22,6:21:40,AG14,14,PANDAN JAYA,3.130141,101.739122,LRT,AG,[object Object],True,valid,LRT PANDAN JAYA,AG,Sat,From Sentul Timur to Ampang,1,shp_AG_1,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,1,AGL_Sat_1,6:23:01,6:23:19,AG15,15,PANDAN INDAH,3.134581,101.746509,LRT,AG,[object Object],True,valid,LRT PANDAN INDAH,AG,Sat,From Sentul Timur to Ampang,1,shp_AG_1,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,1,AGL_Sat_1,6:24:31,6:24:49,AG16,16,CEMPAKA,3.138324,101.752979,LRT,AG,[object Object],True,valid,LRT CEMPAKA,AG,Sat,From Sentul Timur to Ampang,1,shp_AG_1,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,1,AGL_Sat_1,6:25:45,6:26:03,AG17,17,CAHAYA,3.140575,101.756677,LRT,AG,[object Object],True,valid,LRT CAHAYA,AG,Sat,From Sentul Timur to Ampang,1,shp_AG_1,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,1,AGL_Sat_1,6:28:02,6:28:20,AG18,18,AMPANG,3.150318,101.760049,LRT,AG,[object Object],True,valid,LRT AMPANG,AG,Sat,From Sentul Timur to Ampang,1,shp_AG_1,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,0,AGL_Sun_0,6:00:00,6:00:18,AG18,1,AMPANG,3.150318,101.760049,LRT,AG,[object Object],True,valid,LRT AMPANG,AG,Sun,From Ampang to Sentul Timur,0,shp_AG_0,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,0,AGL_Sun_0,6:02:03,6:02:21,AG17,2,CAHAYA,3.140575,101.756677,LRT,AG,[object Object],True,valid,LRT CAHAYA,AG,Sun,From Ampang to Sentul Timur,0,shp_AG_0,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,0,AGL_Sun_0,6:03:15,6:03:33,AG16,3,CEMPAKA,3.138324,101.752979,LRT,AG,[object Object],True,valid,LRT CEMPAKA,AG,Sun,From Ampang to Sentul Timur,0,shp_AG_0,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,0,AGL_Sun_0,6:04:43,6:05:01,AG15,4,PANDAN INDAH,3.134581,101.746509,LRT,AG,[object Object],True,valid,LRT PANDAN INDAH,AG,Sun,From Ampang to Sentul Timur,0,shp_AG_0,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,0,AGL_Sun_0,6:06:21,6:06:39,AG14,5,PANDAN JAYA,3.130141,101.739122,LRT,AG,[object Object],True,valid,LRT PANDAN JAYA,AG,Sun,From Ampang to Sentul Timur,0,shp_AG_0,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,0,AGL_Sun_0,6:08:28,6:08:46,AG13,6,MALURI,3.12329,101.727283,LRT,AG,[object Object],True,valid,LRT MALURI,AG,Sun,From Ampang to Sentul Timur,0,shp_AG_0,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
